Icode,ParentID,Name,Active
60,57,"Опросы, сбор мнений",true
30,26,Металлообработка,true
113,0,"Фото, видео, печать",true
26,0,Сделай сам,true
1,0,Ремонт,true
13,0,Дом,true
34,0,Животные,true
42,0,IT-сфера,true
52,0,Обучение,true
57,0,Информационные услуги,true
64,0,Красота,true
74,0,Здоровье,true
82,0,Спорт,true
87,0,Авто,true
95,0,Аренда,true
103,0,Общественное питание,true
108,0,Одежда,true
121,0,Развлечения,true
127,0,Юристы,true
132,0,Финансы,true
141,0,Торговля самостоятельно произведенным товаром,true
144,0,Природа,true
2,1,Ремонт квартир,true
3,1,Бытовой ремонт,true
4,1,Ремонт бытовой техники,true
5,1,Сантехник,true
6,1,Электрик,true
7,1,Строительство,true
8,1,Отделка,true
9,1,Техобслуживание,true
10,1,Реставрация,true
11,1,Дизайн,true
14,13,Повар,true
15,13,Бытовые услуги,true
16,13,Уборка и клининг,true
17,13,Доставка,true
18,13,Ведение хозяйства,true
19,13,Социальная помощь,true
20,13,Химчистка,true
21,13,Сиделка,true
22,13,Няня,true
23,13,Гувернантка,true
24,13,Сторож,true
27,26,Производственные услуги,true
28,26,"Столяр, плотник",true
29,26,Кузнец,true
31,26,Услуги по сборке,true
32,26,Проектирование,true
35,34,Уход за животными,true
36,34,Дрессировщик,true
37,34,Передержка животных,true
38,34,Груминг,true
39,34,Вакцинация животных,true
40,34,Кинология,true
43,42,Верстка и дизайн,true
44,42,Анализ данных,true
45,42,Обработка данных,true
46,42,Компьютерный мастер,true
47,42,Программист,true
48,42,Техническая поддержка,true
49,42,Администрирование,true
50,42,Вебмастер,true
53,52,Репетитор,true
54,52,Тренер,true
55,52,Учитель,true
58,57,"Маркетинг, реклама",true
59,57,Исследования,true
61,57,Переводчик,true
62,57,Обрядовые услуги,true
65,64,Консультирование,true
66,64,Парикмахер,true
67,64,Косметолог,true
68,64,"Маникюр, педикюр",true
69,64,Тату и пирсинг,true
70,64,Стилист,true
71,64,Эпиляция,true
72,64,Модель,true
75,74,Консультирование,true
76,74,"Тренер, инструктор",true
77,74,Массажист,true
78,74,Диетолог,true
79,74,Логопед,true
80,74,Психолог,true
83,82,Консультирование,true
84,82,"Тренер, инструктор",true
85,82,Массажист,true
88,87,Автосервис,true
89,87,Автомойка,true
90,87,Перевозка пассажиров,true
91,87,Перевозка грузов,true
92,87,Автоэвакуация и буксировка,true
93,87,Водитель,true
96,95,Аренда машин,true
97,95,Аренда квартир,true
98,95,Услуги по хранению,true
99,95,Услуги по временному проживанию,true
100,95,Прокат,true
101,95,Предоставление лицензий,true
104,103,Повар,true
105,103,Кондитер,true
106,103,Обслуживание,true
110,108,"Модельер, дизайнер",true
111,108,Пошив,true
114,113,Фотограф,true
115,113,Оператор,true
116,113,Полиграфия,true
117,113,Издательские услуги,true
118,113,Оцифровка,true
119,113,Художник,true
122,121,"Гид, экскурсовод",true
123,121,"Ведущий, шоумен, тамада",true
125,121,Аниматор,true
128,127,Консультирование,true
129,127,Юридические услуги,true
130,127,Налоговый консультант,true
133,132,Финансовые услуги,true
134,132,Консультирование,true
135,132,Страховые услуги,true
137,132,Риелтор,true
138,132,Бухгалтер,true
139,132,Бухгалтерия,true
142,141,Продукция собственного производства,true
145,144,Благоустройство территории,true
146,144,Сельхоз услуги,true
147,144,Животноводство,true
148,144,"Лес, охота, рыбалка",true
149,144,Переработка отходов,true
150,144,Прием или сдача лома,true
153,152,Грузчик,true
154,152,Обеспечение безопасности,true
155,152,Носильщик,true
156,152,Платные туалеты,true
157,152,Копирайтер,true
158,152,Писатель,true
152,0,Прочее,true
12,1,Прочее,true
25,13,Прочее,true
33,26,Прочее,true
41,34,Прочее,true
51,42,Прочее,true
56,52,Прочее,true
63,57,Прочее,true
73,64,Прочее,true
81,74,Прочее,true
86,82,Прочее,true
94,87,Прочее,true
102,95,Прочее,true
107,103,Прочее,true
112,108,Прочее,true
120,113,Прочее,true
126,121,Прочее,true
131,127,Прочее,true
140,132,Прочее,true
143,141,Прочее,true
151,144,Прочее,true
136,132,Услуги курьера,true
159,152,Прочее,true
109,108,"Ткани, кройка, шитье",true
124,121,"Артист, певец, музыкант",true
